CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1,Male,37,139,62,3
2,Female,65,112,78,3
3,Female,43,55,74,0
4,Male,54,136,14,2
5,Male,41,77,82,0
6,Female,31,77,54,4
7,Male,57,69,32,1
8,Female,68,32,51,4
9,Male,31,131,96,3
10,Male,58,16,85,0
11,Female,31,36,83,0
12,Female,55,43,46,4
13,Female,59,49,78,0
14,Female,41,31,39,4
15,Female,56,17,68,0
16,Female,32,99,64,3
17,Female,22,136,25,2
18,Male,23,30,27,1
19,Female,41,52,7,1
20,Male,64,78,14,1
21,Female,24,130,43,2
22,Male,41,101,48,2
23,Male,54,110,17,2
24,Female,28,87,42,2
25,Female,55,67,60,4
26,Female,33,39,24,1
27,Male,60,123,34,2
28,Female,48,115,37,2
29,Female,46,18,51,4
30,Male,27,104,37,2
31,Male,42,25,73,0
32,Male,62,107,33,2
33,Male,19,118,43,2
34,Female,57,31,38,4
35,Female,43,69,19,1
36,Male,55,30,68,0
37,Female,52,85,24,2
38,Female,40,130,30,2
39,Male,34,25,79,0
40,Female,50,64,94,0
41,Male,25,136,67,3
42,Female,48,52,91,0
43,Female,22,31,85,0
44,Male,51,76,48,4
45,Male,50,78,77,3
46,Female,22,97,33,2
47,Male,57,54,46,4
48,Female,39,134,54,3
49,Female,58,80,96,0
50,Female,20,50,85,0
51,Female,27,135,49,3
52,Male,43,130,65,3
53,Male,27,77,21,1
54,Male,35,18,80,0
55,Male,52,89,55,3
56,Male,25,84,53,3
57,Female,53,33,76,0
58,Male,23,94,63,3
59,Female,27,120,8,2
60,Female,48,28,29,1
61,Female,59,105,18,2
62,Female,26,32,73,0
63,Male,33,108,4,2
64,Female,66,67,21,1
65,Male,69,15,60,4
66,Male,48,135,69,3
67,Female,41,35,50,4
68,Male,36,89,86,3
69,Male,49,37,91,0
70,Male,48,131,14,2
71,Female,33,107,95,3
72,Male,19,115,61,3
73,Male,25,69,63,4
74,Male,67,73,10,1
75,Female,39,94,62,3
76,Male,43,113,72,3
77,Male,42,120,58,3
78,Male,58,17,9,1
79,Female,21,97,52,3
80,Female,22,28,93,0
81,Female,32,50,72,0
82,Male,43,118,14,2
83,Male,52,46,96,0
84,Female,43,114,95,3
85,Female,40,72,17,1
86,Female,66,44,80,0
87,Male,26,56,41,4
88,Male,47,81,59,3
89,Female,46,110,45,2
90,Female,42,90,78,3
91,Male,59,131,99,3
92,Female,31,123,79,3
93,Female,67,109,93,3
94,Male,35,90,94,3
95,Female,46,51,9,1
96,Male,45,66,26,1
97,Male,62,29,72,0
98,Female,40,61,59,4
99,Female,32,130,5,2
100,Male,19,68,10,1
101,Female,36,29,52,4
102,Male,60,96,62,3
103,Female,18,135,17,2
104,Male,64,123,17,2
105,Female,46,49,13,1
106,Female,25,71,56,4
107,Female,33,81,1,1
108,Female,46,45,57,4
109,Male,34,48,48,4
110,Female,23,44,47,4
111,Male,52,139,68,3
112,Female,52,108,52,3
113,Female,24,120,73,3
114,Male,32,117,76,3
115,Female,30,134,92,3
116,Female,52,28,80,0
117,Male,55,125,52,3
118,Male,55,23,49,4
119,Male,66,74,24,1
120,Male,57,89,60,3
121,Male,34,59,14,1
122,Female,23,33,93,0
123,Female,49,39,84,0
124,Male,65,118,12,2
125,Female,68,54,78,0
126,Female,29,53,12,1
127,Male,30,130,72,3
128,Female,19,32,9,1
129,Female,25,129,49,3
130,Female,46,130,66,3
131,Female,46,89,73,3
132,Female,37,35,42,4
133,Male,34,34,92,0
134,Female,61,50,77,0
135,Female,41,87,21,2
136,Male,60,34,67,0
137,Female,68,71,73,0
138,Male,34,29,34,4
139,Male,28,82,74,3
140,Male,67,17,89,0
141,Female,51,103,81,3
142,Male,33,21,76,0
143,Male,50,39,63,4
144,Male,44,36,27,1
145,Female,65,118,79,3
146,Female,31,21,37,4
147,Male,69,68,53,4
148,Male,66,88,32,2
149,Female,27,79,31,1
150,Male,26,100,16,2
151,Female,45,115,96,3
152,Male,20,64,15,1
153,Female,33,118,9,2
154,Male,40,54,93,0
155,Male,68,138,55,3
156,Female,69,78,44,4
157,Male,25,107,74,3
158,Female,64,124,38,2
159,Female,22,114,13,2
160,Female,56,121,73,3
161,Female,61,82,18,1
162,Female,64,20,55,4
163,Male,29,76,94,0
164,Male,64,37,93,0
165,Male,24,126,36,2
166,Female,44,44,78,0
167,Male,42,43,61,4
168,Male,34,46,48,4
169,Male,19,95,14,2
170,Male,58,86,38,2
171,Male,35,133,65,3
172,Male,52,67,98,0
173,Female,39,50,1,1
174,Female,37,21,72,0
175,Female,64,15,84,0
176,Male,22,61,95,0
177,Female,56,130,42,2
178,Male,56,80,12,1
179,Female,37,126,27,2
180,Female,31,27,85,0
181,Female,18,26,87,0
182,Male,66,119,64,3
183,Male,67,28,13,1
184,Female,30,21,13,1
185,Male,19,65,48,4
186,Male,24,130,59,3
187,Male,21,101,4,2
188,Male,61,27,68,0
189,Male,64,119,54,3
190,Male,25,120,2,2
191,Female,56,115,10,2
192,Female,27,127,45,2
193,Female,37,44,72,0
194,Male,49,137,82,3
195,Female,55,55,43,4
196,Male,63,115,30,2
197,Male,20,87,96,3
198,Male,28,112,46,2
199,Male,32,93,32,2
200,Female,34,95,44,2
